AUDIT: None | POST /admin/login/ | 127.0.0.1
AUDIT: None | POST /admin/login/ | 127.0.0.1
AUDIT:  () | POST /admin/auth/group/add/ | 127.0.0.1
AUDIT:  () | POST /login_soldador/ | 127.0.0.1
AUDIT:  () | POST /login_soldador/ | 127.0.0.1
AUDIT:  () | POST /login_soldador/ | 127.0.0.1
AUDIT:  () | POST /login_soldador/ | 127.0.0.1
AUDIT:  () | POST /login_soldador/ | 127.0.0.1
AUDIT:  () | POST /login_soldador/ | 127.0.0.1
AUDIT: None | POST /login_soldador/ | 127.0.0.1
AUDIT: None | POST /iniciar_modulo/ | 127.0.0.1
AUDIT: None | POST /iniciar_modulo/ | 127.0.0.1
AUDIT: None | POST /login_soldador/ | 127.0.0.1
AUDIT: None | POST /iniciar_modulo/ | 127.0.0.1
AUDIT: None | POST /login_soldador/ | 127.0.0.1
AUDIT: None | POST /iniciar_modulo/ | 127.0.0.1
AUDIT: None | POST /iniciar_modulo/ | 127.0.0.1
AUDIT: None | POST /login_soldador/ | 127.0.0.1
AUDIT: None | POST /iniciar_modulo/ | 127.0.0.1
AUDIT: None | POST /iniciar_componente/ | 127.0.0.1
AUDIT: None | POST /finalizar_componente/ | 127.0.0.1
